zone,referee_name,feature,slope,se,pvalue,significant
zone_2_1,Néstor Fabián Pitana,directness,-0.6660745815341691,0.7931314356601625,0.4010185524138544,False
zone_2_1,Sandro Ricci,directness,-0.05647715165224339,0.9003701078222637,0.949984218857222,False
zone_2_2,Andrés Cunha,directness,0.04823762543824526,0.9235748680630282,0.9583460242227516,False
zone_2_2,Antonio Miguel Mateu Lahoz,directness,-0.7626754951285237,0.8838543338328665,0.3881939497027904,False
zone_2_2,Björn Kuipers,directness,0.02743087431752469,0.8526308038245697,0.97433485161757,False
zone_2_2,Carlos del Cerro Grande,directness,-3.5144751345773075,5.457818087509641,0.5196181734028489,False
zone_2_2,César Arturo Ramos Palazuelos,directness,-0.7120729735259225,0.9381354397075896,0.44783459143179394,False
zone_2_2,Cüneyt Çakιr,directness,-0.4012375318272814,0.8200655392312726,0.6246470479727337,False
zone_2_2,Damir Skomina,directness,0.1009275776876332,1.0111868024901007,0.9204943657050796,False
zone_2_2,Gianluca Rocchi,directness,-0.07528489545632254,1.0542206077459626,0.9430691849170795,False
zone_2_2,Guillermo Cuadra Fernández,directness,0.1124739969371205,1.1340653345274279,0.9209971765868474,False
zone_2_2,Malang Diedhiou,directness,-3.5400762765753084,1.5071603243782514,0.018832070286405232,True
zone_2_2,Mark Geiger,directness,-0.24501221653131475,0.9110722947663624,0.7879856246962881,False
zone_2_2,Milorad Mažić,directness,-0.6083804562597105,0.901777180391435,0.4999006377296852,False
zone_2_2,Néstor Fabián Pitana,directness,0.15321368619025783,0.871254154285337,0.8604085021479337,False
zone_2_2,Sandro Ricci,directness,1.1978225986621307,1.3291489493183566,0.3674845644509922,False
zone_3_0,Andrés Cunha,directness,-0.7111929736414762,0.8462021117434493,0.4006545293136228,False
zone_3_0,Antonio Miguel Mateu Lahoz,directness,-2.5678419131397128,1.1872903627145668,0.030558489400972437,True
zone_3_0,Björn Kuipers,directness,-0.2907883788911847,0.9484405835715896,0.759150666096067,False
zone_3_0,Carlos del Cerro Grande,directness,-2.429627327621065,6.3823288402068,0.7034404338366904,False
zone_3_0,César Arturo Ramos Palazuelos,directness,-0.900232960437611,0.9396060082901,0.3380142437453768,False
zone_3_0,Cüneyt Çakιr,directness,-1.378494194807694,0.8805206552324943,0.11745531147042837,False
zone_3_0,Damir Skomina,directness,-0.9653772892307702,1.055286298203052,0.36029594637113593,False
zone_3_0,Gianluca Rocchi,directness,-0.5353802209720192,1.2343686203205027,0.664485978350383,False
zone_3_0,Guillermo Cuadra Fernández,directness,0.8634907852002186,2.681427104272,0.7474325624249877,False
zone_3_0,Malang Diedhiou,directness,-1.5025465635079776,1.2480424060182507,0.2286194631935481,False
zone_3_0,Mark Geiger,directness,-0.3303570957122236,1.0288794207142464,0.7481464582586097,False
zone_3_0,Milorad Mažić,directness,-1.9418887766442168,1.1077873023874822,0.07961167085391836,False
zone_3_0,Néstor Fabián Pitana,directness,0.8912943883263265,1.25514725151461,0.4776350494046876,False
zone_3_0,Sandro Ricci,directness,-0.8149186306982815,1.0831193745934247,0.4518218624287238,False
zone_3_1,Andrés Cunha,directness,-2.8177437174454596,1.7733121650189696,0.11206667104049367,False
zone_3_1,Antonio Miguel Mateu Lahoz,directness,-0.6431501244556067,1.0218607168249845,0.5290929894622614,False
zone_3_1,Björn Kuipers,directness,-0.65442467592061,0.9831921480132687,0.5056590146529885,False
zone_3_1,Carlos del Cerro Grande,directness,6.596364277394569,7.789935397132276,0.39711755888681455,False
zone_3_1,César Arturo Ramos Palazuelos,directness,-1.048490271298346,1.1823308319787051,0.37518691121922787,False
zone_3_1,Cüneyt Çakιr,directness,0.25926627877213204,1.151626706871085,0.8218777662386975,False
zone_3_1,Damir Skomina,directness,-0.19008864180088617,1.2309947048209438,0.8772795845547274,False
zone_3_1,Gianluca Rocchi,directness,-1.8871028575203195,1.7153090668317592,0.27126535255461515,False
zone_3_1,Guillermo Cuadra Fernández,directness,-0.5314109984046467,1.2088849095634107,0.6602357140049897,False
zone_3_1,Malang Diedhiou,directness,0.1497136199657797,1.3559958080570673,0.9120853206211247,False
zone_3_1,Mark Geiger,directness,0.43413335393296965,1.7126200479885587,0.7998890021410545,False
zone_3_1,Milorad Mažić,directness,-2.3494212392425498,1.45754940260695,0.10698409683518335,False
zone_3_1,Néstor Fabián Pitana,directness,-0.8137327742899996,0.988532085513269,0.41040970581240854,False
zone_3_1,Sandro Ricci,directness,-0.6435747462923681,1.0459575515413388,0.5383584704599252,False
zone_3_2,Andrés Cunha,directness,-0.5832191276503115,0.8865813943922684,0.510647890228322,False
zone_3_2,Antonio Miguel Mateu Lahoz,directness,-0.733205573054955,0.9747853814002037,0.4519480595240568,False
zone_3_2,Björn Kuipers,directness,1.5383393623739994,2.017472981157243,0.4457568482754938,False
zone_3_2,Carlos del Cerro Grande,directness,-1.4144615796173665,6.602184118105247,0.8303587644142033,False
zone_3_2,César Arturo Ramos Palazuelos,directness,-0.7821426052695678,0.913946430266772,0.39211613290618286,False
zone_3_2,Cüneyt Çakιr,directness,-0.6865162320268848,0.8580549719515591,0.4236620105412606,False
zone_3_2,Damir Skomina,directness,-0.9176885989044976,1.151226284583914,0.42536968812848075,False
zone_3_2,Gianluca Rocchi,directness,-6.249001770341339,11.906630303131555,0.5996987476518711,False
